"winner_id","loser_id","score","set_order","best_of","surface","tourney_date","winner_age","loser_age","winner_rank","loser_rank","w_games","l_games","sets_won_winner","sets_won_loser","total_sets","row_num","N_months_since_last_match_winner","N_months_since_last_match_loser"
104098,104755,"3-6 6-3 6-4","011",3,"Hard",2008-01-07,25.0704996578,21.5550992471,35,8,15,13,2,1,3,47,0,0
103206,104269,"6-3 6-4","11",3,"Hard",2008-01-07,29.6098562628,24.1451060917,51,27,12,7,2,0,2,48,0,0
102148,104327,"6-1 6-3","11",3,"Hard",2008-01-07,35.0773442847,23.819301848,37,88,12,4,2,0,2,49,0,0
105095,104371,"6-2 6-3","11",3,"Hard",2008-01-07,19.8959616701,23.6303901437,82,102,12,5,2,0,2,50,12,0
104589,103720,"7-6(4) 7-6(2)","11",3,"Hard",2008-01-07,22.4394250513,26.8665297741,125,21,14,12,2,0,2,51,0,0
104607,104468,"7-6(3) 6-2","11",3,"Hard",2008-01-07,22.3052703628,23.0280629706,14,30,13,8,2,0,2,52,0,0
102860,102845,"6-3 6-4","11",3,"Hard",2008-01-07,31.3127994524,31.3620807666,40,18,12,7,2,0,2,53,0,0
103285,104312,"7-5 2-6 6-4","101",3,"Hard",2008-01-07,29.1115674196,23.8767967146,32,47,15,15,2,1,3,54,0,0
104098,103206,"6-4 6-2","11",3,"Hard",2008-01-07,25.0704996578,29.6098562628,35,51,12,6,2,0,2,55,0,0
102148,105095,"6-3 6-3","11",3,"Hard",2008-01-07,35.0773442847,19.8959616701,37,82,12,6,2,0,2,56,0,0
104589,104607,"4-6 7-6(6) 6-4","011",3,"Hard",2008-01-07,22.4394250513,22.3052703628,125,14,17,16,2,1,3,57,0,0
103285,102860,"6-2 6-4","11",3,"Hard",2008-01-07,29.1115674196,31.3127994524,32,40,12,6,2,0,2,58,0,0
104098,102148,"6-3 7-6(4)","11",3,"Hard",2008-01-07,25.0704996578,35.0773442847,35,37,13,9,2,0,2,59,0,0
104589,103285,"7-6(5) 3-6 6-4","101",3,"Hard",2008-01-07,22.4394250513,29.1115674196,125,32,16,16,2,1,3,60,0,0
104098,104589,"7-6(3) 7-6(4)","11",3,"Hard",2008-01-07,25.0704996578,22.4394250513,35,125,14,12,2,0,2,61,0,0
103819,103701,"6-0 6-3 6-0","111",5,"Hard",2008-01-14,26.4339493498,26.9514031485,1,107,18,3,3,0,3,62,12,12
102148,104545,"6-2 6-2 6-4","111",5,"Hard",2008-01-14,35.0965092402,22.7186858316,36,109,18,8,3,0,3,63,0,12
104386,102512,"7-5 6-2 6-7(6) 0-6 6-0","11001",5,"Hard",2008-01-14,23.5619438741,32.9911019849,49,146,25,20,3,2,5,64,12,0
104269,103693,"6-4 6-0 6-3","111",5,"Hard",2008-01-14,24.1642710472,26.9897330595,28,96,18,7,3,0,3,65,0,12
104338,104122,"7-6(5) 7-5 6-1","111",5,"Hard",2008-01-14,23.794661191,24.9445585216,23,75,20,12,3,0,3,66,0,12
104025,103470,"6-4 7-5 6-2","111",5,"Hard",2008-01-14,25.5414099932,28.1642710472,136,108,19,11,3,0,3,67,12,12
103169,104371,"1-6 7-6(5) 6-2 6-1","0111",5,"Hard",2008-01-14,29.7631759069,23.6495550992,60,102,20,15,3,1,4,68,0,0
104607,102381,"6-4 6-4 6-4","111",5,"Hard",2008-01-14,22.3244353183,33.7193702943,13,64,18,12,3,0,3,69,0,0
103484,103454,"6-3 6-2 6-2","111",5,"Hard",2008-01-14,28.0465434634,28.2628336756,15,69,18,7,3,0,3,70,0,0
103188,104926,"6-1 4-6 6-2 3-6 6-3","10101",5,"Hard",2008-01-14,29.7056810404,20.643394935,101,94,25,18,3,2,5,71,0,12
103206,103835,"7-6(3) 6-3 7-6(0)","111",5,"Hard",2008-01-14,29.6290212183,26.3572895277,46,39,20,15,3,0,3,72,0,0
104898,103344,"6-7(2) 6-3 6-0 7-6(1)","0111",5,"Hard",2008-01-14,20.7748117728,28.8240930869,103,19,25,16,3,1,4,73,12,12
105227,104597,"7-6(4) 7-5 6-2","111",5,"Hard",2008-01-14,19.2936344969,22.3983572895,57,31,20,13,3,0,3,74,0,0
103781,103181,"6-3 6-4 6-4","111",5,"Hard",2008-01-14,26.6475017112,29.7248459959,71,99,18,11,3,0,3,75,0,12
102703,104589,"7-6(6) 6-3 6-4","111",5,"Hard",2008-01-14,32.0301163587,22.4585900068,47,91,19,13,3,0,3,76,0,0
103602,103077,"6-4 7-6(2) 6-1","111",5,"Hard",2008-01-14,27.4606433949,30.1984941821,7,142,19,11,3,0,3,77,12,12
104925,103794,"6-0 6-2 7-6(5)","111",5,"Hard",2008-01-14,20.6488706366,26.5790554415,3,81,19,8,3,0,3,78,12,12
104620,104330,"7-6(5) 3-6 6-4 2-6 6-3","10101",5,"Hard",2008-01-14,22.2669404517,23.8247775496,70,233,24,25,3,2,5,79,12,12
105023,103694,"6-3 6-2 7-5","111",5,"Hard",2008-01-14,20.2710472279,26.9869952088,62,56,19,10,3,0,3,80,0,0
104098,103598,"6-7(1) 5-7 6-2 6-1 6-3","00111",5,"Hard",2008-01-14,25.0896646133,27.4880219028,32,156,29,20,3,2,5,81,0,0
103720,104327,"6-0 6-3 6-0","111",5,"Hard",2008-01-14,26.8856947296,23.8384668036,22,83,18,3,3,0,3,82,0,0
104797,105041,"6-3 6-7(1) 7-6(4) 6-1","1011",5,"Hard",2008-01-14,21.3524982888,20.1971252567,216,150,25,17,3,1,4,83,12,12
103498,105208,"6-0 6-4 7-6(2)","111",5,"Hard",2008-01-14,27.9644079398,19.3730321697,58,61,19,10,3,0,3,84,12,12
104571,102563,"7-6(0) 6-2 3-6 6-3","1101",5,"Hard",2008-01-14,22.5763175907,32.810403833,16,51,22,17,3,1,4,85,12,0
103900,104635,"6-1 6-1 7-6(3)","111",5,"Hard",2008-01-14,26.0342231348,22.1765913758,10,149,19,8,3,0,3,86,12,12
103429,103151,"6-1 6-7(2) 6-3 6-4","1011",5,"Hard",2008-01-14,28.372347707,29.8754277892,90,104,24,15,3,1,4,87,0,12
103553,103656,"6-4 6-3 3-6 6-2","1101",5,"Hard",2008-01-14,27.7180013689,27.1321013005,137,45,21,15,3,1,4,88,0,0
103507,103017,"6-4 6-3 6-1","111",5,"Hard",2008-01-14,27.9206023272,30.5270362765,21,42,18,8,3,0,3,89,0,12
102434,103285,"2-6 2-6 7-5 6-2 6-3","00111",5,"Hard",2008-01-14,33.4893908282,29.1307323751,80,30,23,22,3,2,5,90,12,0
103823,103373,"6-1 0-6 6-4 7-5","1011",5,"Hard",2008-01-14,26.4120465435,28.6652977413,119,72,19,16,3,1,4,91,12,0
105223,103490,"6-3 6-1 6-3","111",5,"Hard",2008-01-14,19.3073237509,28.0246406571,53,87,18,7,3,0,3,92,12,12
103970,104273,"6-2 6-2 6-1","111",5,"Hard",2008-01-14,25.7850787132,24.128678987,5,93,18,5,3,0,3,93,0,12
104755,105194,"6-0 6-1 3-6 6-2","1101",5,"Hard",2008-01-14,21.5742642026,19.4551676934,8,254,21,9,3,1,4,94,0,12
103852,104639,"7-6(6) 6-1 6-4","111",5,"Hard",2008-01-14,26.3162217659,22.1464750171,37,124,19,11,3,0,3,95,0,12
104019,103535,"6-0 6-1 7-6(3)","111",5,"Hard",2008-01-14,25.5633127995,27.8056125941,105,110,19,7,3,0,3,96,12,12
104214,102318,"5-7 6-2 7-6(4) 6-3","0111",5,"Hard",2008-01-14,24.5037645448,33.9630390144,35,78,24,18,3,1,4,97,0,12
104198,103428,"6-4 6-2 1-6 6-2","1101",5,"Hard",2008-01-14,24.6132785763,28.3750855578,86,20,19,14,3,1,4,98,12,0
104268,104731,"5-7 7-5 6-7(8) 6-2 7-5","01011",5,"Hard",2008-01-14,24.167008898,21.659137577,84,208,31,26,3,2,5,99,12,12
104173,103976,"2-6 6-2 6-3 2-6 6-4","01101",5,"Hard",2008-01-14,24.7118412047,25.7577002053,172,97,22,21,3,2,5,100,12,12
104542,104918,"7-5 6-4 0-6 7-6(5)","1101",5,"Hard",2008-01-14,22.7433264887,20.6680355921,38,9,20,21,3,1,4,101,0,12
104022,104515,"6-0 6-2 7-6(3)","111",5,"Hard",2008-01-14,25.5550992471,22.8637919233,14,122,19,8,3,0,3,102,12,12
104312,103248,"6-4 6-2 6-1","111",5,"Hard",2008-01-14,23.8959616701,29.4428473648,48,160,18,7,3,0,3,103,0,12
104534,103763,"6-2 6-4 6-2","111",5,"Hard",2008-01-14,22.7789185489,26.7049965777,66,277,18,8,3,0,3,104,0,12
103333,104779,"6-4 6-4 6-7(1) 6-4","1101",5,"Hard",2008-01-14,28.8761122519,21.4428473648,24,217,24,19,3,1,4,105,12,12
104527,103898,"6-3 6-3 6-3","111",5,"Hard",2008-01-14,22.7980835044,26.0670773443,29,65,18,9,3,0,3,106,0,0
102967,104229,"6-3 4-6 6-7(6) 6-4 6-2","10011",5,"Hard",2008-01-14,30.7926078029,24.4188911704,73,112,28,22,3,2,5,107,12,12
103917,104076,"7-6(2) 5-7 6-2 3-6 7-5","10101",5,"Hard",2008-01-14,25.9794661191,25.234770705,44,63,28,26,3,2,5,108,0,0
103786,103566,"7-5 7-5 6-3","111",5,"Hard",2008-01-14,26.6173853525,27.6577686516,4,50,20,13,3,0,3,109,12,0
104053,104160,"6-3 6-4 7-5","111",5,"Hard",2008-01-14,25.3744010951,24.7665982204,6,154,19,12,3,0,3,110,12,12
103582,105385,"6-7(5) 7-6(4) 6-3 7-6(5)","0111",5,"Hard",2008-01-14,27.537303217,18.4777549624,54,98,26,22,3,1,4,111,0,12
105095,104719,"7-5 6-2 6-0","111",5,"Hard",2008-01-14,19.9151266256,21.7577002053,82,131,19,7,3,0,3,112,0,12
104259,104056,"6-4 7-6(5) 6-1","111",5,"Hard",2008-01-14,24.2464065708,25.3579739904,27,133,19,11,3,0,3,113,0,12
103813,104433,"6-3 6-1 5-7 2-6 6-1","11001",5,"Hard",2008-01-14,26.4777549624,23.2991101985,26,74,25,18,3,2,5,114,0,12
105028,103506,"6-1 7-5 6-1","111",5,"Hard",2008-01-14,20.2491444216,27.9260780287,170,77,19,7,3,0,3,115,0,12
103888,104081,"6-2 6-3 3-6 6-3","1101",5,"Hard",2008-01-14,26.0971937029,25.196440794,43,95,21,14,3,1,4,116,0,12
103990,104999,"4-6 2-6 7-6(2) 6-4 7-5","00111",5,"Hard",2008-01-14,25.7056810404,20.3969883641,12,85,26,27,3,2,5,117,0,12
102905,102845,"7-6(5) 6-7(2) 7-5 6-4","1011",5,"Hard",2008-01-14,31.0308008214,31.3812457221,68,18,26,22,3,1,4,118,0,0
102860,103632,"6-4 6-7(6) 6-3 6-4","1011",5,"Hard",2008-01-14,31.3319644079,27.3319644079,41,76,24,18,3,1,4,119,0,12
104154,105454,"6-4 7-5 6-4","111",5,"Hard",2008-01-14,24.7857631759,18.0369609856,100,618,19,13,3,0,3,120,12,12
103908,103812,"6-1 7-6(4) 6-2","111",5,"Hard",2008-01-14,26.0041067762,26.4832306639,25,79,19,9,3,0,3,121,12,12
104468,104035,"4-6 6-4 6-2 6-7(3) 6-4","01101",5,"Hard",2008-01-14,23.0472279261,25.4948665298,33,113,28,23,3,2,5,122,0,12
102783,103096,"6-4 6-2 6-7(3) 6-4","1101",5,"Hard",2008-01-14,31.7207392197,30.0752908966,92,59,24,17,3,1,4,123,12,12
103722,104252,"6-3 7-6(2) 7-6(5)","111",5,"Hard",2008-01-14,26.8747433265,24.2765229295,88,52,20,15,3,0,3,124,12,0
104745,104678,"7-6(3) 7-5 6-1","111",5,"Hard",2008-01-14,21.6153319644,21.9247091034,2,126,20,12,3,0,3,125,12,12
103819,102148,"6-1 6-2 6-0","111",5,"Hard",2008-01-14,26.4339493498,35.0965092402,1,36,18,3,3,0,3,126,0,0
104386,104269,"7-5 7-6(3) 7-6(3)","111",5,"Hard",2008-01-14,23.5619438741,24.1642710472,49,28,21,17,3,0,3,127,0,0
104338,104025,"6-3 7-6(6) 5-7 6-7(8) 8-6","11001",5,"Hard",2008-01-14,23.794661191,25.5414099932,23,136,32,29,3,2,5,128,0,0
104607,103169,"6-2 6-1 6-3","111",5,"Hard",2008-01-14,22.3244353183,29.7631759069,13,60,18,6,3,0,3,129,0,0
103484,103188,"6-3 6-2 6-2","111",5,"Hard",2008-01-14,28.0465434634,29.7056810404,15,101,18,7,3,0,3,130,0,0
103206,104898,"4-6 6-4 6-0 6-7(4) 6-4","01101",5,"Hard",2008-01-14,29.6290212183,20.7748117728,46,103,28,21,3,2,5,131,0,0
105227,103781,"6-4 6-3 6-4","111",5,"Hard",2008-01-14,19.2936344969,26.6475017112,57,71,18,11,3,0,3,132,0,0
103602,102703,"4-6 6-3 6-2 6-4","0111",5,"Hard",2008-01-14,27.4606433949,32.0301163587,7,47,22,15,3,1,4,133,0,0
104925,104620,"6-1 6-2 6-2","111",5,"Hard",2008-01-14,20.6488706366,22.2669404517,3,70,18,5,3,0,3,134,0,0
105023,104098,"7-6(5) 4-6 6-4 6-2","1011",5,"Hard",2008-01-14,20.2710472279,25.0896646133,62,32,23,18,3,1,4,135,0,0
103720,104797,"7-6(5) 6-3 5-7 6-1","1101",5,"Hard",2008-01-14,26.8856947296,21.3524982888,22,216,24,17,3,1,4,136,0,0
104571,103498,"6-4 6-4 2-6 3-6 6-2","11001",5,"Hard",2008-01-14,22.5763175907,27.9644079398,16,58,23,22,3,2,5,137,0,0
103900,103429,"4-6 7-5 6-4 6-1","0111",5,"Hard",2008-01-14,26.0342231348,28.372347707,10,90,23,16,3,1,4,138,0,0
103507,103553,"6-4 6-4 6-2","111",5,"Hard",2008-01-14,27.9206023272,27.7180013689,21,137,18,10,3,0,3,139,0,0
102434,103823,"4-6 6-2 6-3 2-6 9-7","01101",5,"Hard",2008-01-14,33.4893908282,26.4120465435,80,119,27,24,3,2,5,140,0,0
